reviewid,title,artist,score,genre,year,url
13080,gentlemania,kevin blechdom,7.4,electronic,2009,http://pitchfork.com/reviews/albums/13080-gentlemania/
20874,fw14,christian rich,7.5,electronic,2015,http://pitchfork.com/reviews/albums/20874-christian-rich-fw14/
6522,ghetto blaster,push button objects,7.2,electronic,2003,http://pitchfork.com/reviews/albums/6522-ghetto-blaster/
10739,save the world,supermayer,6.4,electronic,2007,http://pitchfork.com/reviews/albums/10739-save-the-world/
3668,a gun called tension,a gun called tension,8.4,electronic,2005,http://pitchfork.com/reviews/albums/3668-a-gun-called-tension/
18006,silver wilkinson,bibio,6.2,electronic,2013,http://pitchfork.com/reviews/albums/18006-bibio-silver-wilkinson/
20646,hunch music,hunee,7.4,electronic,2015,http://pitchfork.com/reviews/albums/20646-hunch-music/
12494,holiday,alaska in winter,7.8,electronic,2008,http://pitchfork.com/reviews/albums/12494-holiday/
22609,ded sec - watch dogs 2 (ost),hudson mohawke,7.2,electronic,2016,http://pitchfork.com/reviews/albums/22609-ded-sec-watch-dogs-2-ost/
20497,these things,looper,5.8,electronic,2015,http://pitchfork.com/reviews/albums/20497-these-things/
10623,allure ep,fovea hex,7.8,electronic,2007,http://pitchfork.com/reviews/albums/10623-allure-ep/
1484,empty the bones of you,chris clark,7.8,electronic,2003,http://pitchfork.com/reviews/albums/1484-empty-the-bones-of-you/
20868,love from dust,donnacha costello,7.6,electronic,2015,http://pitchfork.com/reviews/albums/20868-love-from-dust/
16498,essential mix,rustie,8.1,electronic,2012,http://pitchfork.com/reviews/albums/16498-essential-mix/
15928,dj-kicks,scuba,8.0,electronic,2011,http://pitchfork.com/reviews/albums/15928-dj-kicks/
9113,the garden,zero 7,3.2,electronic,2006,http://pitchfork.com/reviews/albums/9113-the-garden/
796,i heart presets ep,kevin blechdom,6.8,electronic,2002,http://pitchfork.com/reviews/albums/796-i-heart-presets-ep/
20323,palmbomen ii,palmbomen ii,7.3,electronic,2015,http://pitchfork.com/reviews/albums/20323-palmbomen-ii/
14239,subject to shift,solvent,7.0,electronic,2010,http://pitchfork.com/reviews/albums/14239-subject-to-shift/
14861,glass eights,john roberts,7.2,electronic,2010,http://pitchfork.com/reviews/albums/14861-glass-eights/
11212,naked acid,valet,7.7,electronic,2008,http://pitchfork.com/reviews/albums/11212-naked-acid/
22184,take down,metronome,8.3,electronic,2016,http://pitchfork.com/reviews/albums/22184-take-down/
20503,deep in the iris,braids,7.4,electronic,2015,http://pitchfork.com/reviews/albums/20503-deep-in-the-iris/
22290,the end of comedy,drugdealer,7.4,electronic,2016,http://pitchfork.com/reviews/albums/22290-the-end-of-comedy/
5835,from tokyo to naiagara,tujiko noriko,8.3,electronic,2003,http://pitchfork.com/reviews/albums/5835-from-tokyo-to-naiagara/
9235,danceflaw,cursor miner,6.4,electronic,2006,http://pitchfork.com/reviews/albums/9235-danceflaw/
15696,science of the sea,jrgen mller,8.4,electronic,2011,http://pitchfork.com/reviews/albums/15696-science-of-the-sea/
9468,melody mountain ,susanna and the magical orchestra,7.4,electronic,2006,http://pitchfork.com/reviews/albums/9468-melody-mountain/
21162,technomancer,pictureplane,5.9,electronic,2015,http://pitchfork.com/reviews/albums/21162-technomancer/
20405,rave cave ep,andrew hung,7.0,electronic,2015,http://pitchfork.com/reviews/albums/20405-rave-cave-ep/
10420,all the birds were anarchists,september collective,8.0,electronic,2007,http://pitchfork.com/reviews/albums/10420-all-the-birds-were-anarchists/
18090,immunity,jon hopkins,8.5,electronic,2013,http://pitchfork.com/reviews/albums/18090-jon-hopkins-immunity/
13776,ommatidia,nmperign,7.4,electronic,2010,http://pitchfork.com/reviews/albums/13776-ommatidia/
6797,deadringer,rjd2,8.8,electronic,2002,http://pitchfork.com/reviews/albums/6797-deadringer/
3282,welcome tourist,b. fleischmann,6.8,electronic,2004,http://pitchfork.com/reviews/albums/3282-welcome-tourist/
3678,out of tune,geiger,5.5,electronic,2005,http://pitchfork.com/reviews/albums/3678-out-of-tune/
13814,fabriclive 49,buraka som sistema,6.7,electronic,2010,http://pitchfork.com/reviews/albums/13814-fabriclive-49/
11909,piece work,ewan pearson,8.2,electronic,2007,http://pitchfork.com/reviews/albums/11909-piece-workfabric-35/
20295,dream a garden,jam city,6.5,electronic,2015,http://pitchfork.com/reviews/albums/20295-dream-a-garden/
7445,my red hot car ep,squarepusher,8.0,electronic,2001,http://pitchfork.com/reviews/albums/7445-my-red-hot-car-ep/
2376,live!: in tune and on time,dj shadow,8.4,electronic,2004,http://pitchfork.com/reviews/albums/2376-live-in-tune-and-on-time/
7648,himawari,swayzak,6.6,electronic,2000,http://pitchfork.com/reviews/albums/7648-himawari/
18419,dual ep,sampha,7.4,electronic,2013,http://pitchfork.com/reviews/albums/18419-sampha-dual-ep/
4496,"tko from tokyo 12""",knifehandchop,6.9,electronic,2002,http://pitchfork.com/reviews/albums/4496-tko-from-tokyo-12/
19875,you're dead!,flying lotus,8.3,electronic,2014,http://pitchfork.com/reviews/albums/19875-flying-lotus-youre-dead/
21068,a gathering together,ron morelli,6.5,electronic,2015,http://pitchfork.com/reviews/albums/21068-a-gathering-together/
8250,kling klang,tussle,6.7,electronic,2005,http://pitchfork.com/reviews/albums/8250-kling-klang/
6439,the uncertainty of the monkey,posthuman,8.6,electronic,2002,http://pitchfork.com/reviews/albums/6439-the-uncertainty-of-the-monkey/
19195,through force of will,torn hawk,7.5,electronic,2014,http://pitchfork.com/reviews/albums/19195-luke-wyatt-through-force-of-will/
21082,taking flight ep,"ryan hemsworth, lucas",7.3,electronic,2015,http://pitchfork.com/reviews/albums/21082-taking-flight-ep/
18028,random access memories,daft punk,8.8,electronic,2013,http://pitchfork.com/reviews/albums/18028-daft-punk-random-access-memories/
17697,for professional use only,araabmuzik,7.2,electronic,2013,http://pitchfork.com/reviews/albums/17697-araabmuzik-for-professional-use-only/
9189,musique pour 3 femmes enceintes,marc leclair,8.1,electronic,2006,http://pitchfork.com/reviews/albums/9189-musique-pour-3-femmes-enceintes/
4148,merge,ken ikeda,6.6,electronic,2003,http://pitchfork.com/reviews/albums/4148-merge/
18326,flourish//perish,braids,7.1,electronic,2013,http://pitchfork.com/reviews/albums/18326-braids-flourishperish/
21222,howl,rival consoles,7.7,electronic,2015,http://pitchfork.com/reviews/albums/21222-howl/
19840,flatland,objekt,8.0,electronic,2014,http://pitchfork.com/reviews/albums/19840-objekt-flatland/
8056,dj kicks,tiga,8.2,electronic,2003,http://pitchfork.com/reviews/albums/8056-dj-kicks/
7007,"folk songs for trains, trees and honey",savath y savalas,7.0,electronic,2000,http://pitchfork.com/reviews/albums/7007-folk-songs-for-trains-trees-and-honey/
15334,outmind,matthewdavid,7.0,electronic,2011,http://pitchfork.com/reviews/albums/15334-outmind/
12376,just a souvenir,squarepusher,7.6,electronic,2008,http://pitchfork.com/reviews/albums/12376-just-a-souvenir/
3446,out of season,"beth gibbons, rustin man",5.7,electronic,2002,http://pitchfork.com/reviews/albums/3446-out-of-season/
2190,paquet surprise,greg davis,7.8,electronic,2006,http://pitchfork.com/reviews/albums/2190-paquet-surprise/
3946,irrevocably overdriven break freakout megamix,hrvatski,7.7,electronic,2005,http://pitchfork.com/reviews/albums/3946-irrevocably-overdriven-break-freakout-megamix/
9819,dance and walk,no bra,6.8,electronic,2007,http://pitchfork.com/reviews/albums/9819-dance-and-walk/
9966,the third hand,rjd2,3.7,electronic,2007,http://pitchfork.com/reviews/albums/9966-the-third-hand/
3467,vatican nitez,global goon,7.0,electronic,2002,http://pitchfork.com/reviews/albums/3467-vatican-nitez/
12628,eine kleine nacht musik,eine kleine nacht musik,7.5,electronic,2009,http://pitchfork.com/reviews/albums/12628-eine-kleine-nacht-musik/
21313,before nostromo,stephan mathieu,7.9,electronic,2015,http://pitchfork.com/reviews/albums/21313-before-nostromo/
11651,my parade,ellen allien,7.3,electronic,2004,http://pitchfork.com/reviews/albums/11651-my-paraderemix-collection/
1608,fm (fantasma remixes),cornelius,7.5,electronic,1999,http://pitchfork.com/reviews/albums/1608-fm-fantasma-remixes/
14447,scared,tin man,7.7,electronic,2010,http://pitchfork.com/reviews/albums/14447-scared/
13948,we are proud of our choices,ewan pearson,7.0,electronic,2010,http://pitchfork.com/reviews/albums/13948-we-are-proud-of-our-choices/
20206,drippin' for a tripp,dj sotofett,7.9,electronic,2015,http://pitchfork.com/reviews/albums/20206-drippin-for-a-tripp/
14767,shobaleader one: ddemonstrator,squarepusher,4.0,electronic,2010,http://pitchfork.com/reviews/albums/14767-shobaleader-one-ddemonstrator/
14031,settings ep,tanlines,7.6,electronic,2010,http://pitchfork.com/reviews/albums/14031-settings-ep/
11635,analord 6,afx,6.3,electronic,2005,http://pitchfork.com/reviews/albums/11635-analord-6-7-8/
19302,a u r o r a,ben frost,8.5,electronic,2014,http://pitchfork.com/reviews/albums/19302-ben-frost-a-u-r-o-r-a/
2378,funky skunk,dj shadow,8.0,electronic,2006,http://pitchfork.com/reviews/albums/2378-funky-skunk/
16608,ufabulum,squarepusher,6.3,electronic,2012,http://pitchfork.com/reviews/albums/16608-ufabulum/
1089,haralambos,bexar bexar,7.8,electronic,2003,http://pitchfork.com/reviews/albums/1089-haralambos/
19125,panasonic ep,the range,7.4,electronic,2014,http://pitchfork.com/reviews/albums/19125-the-range-panasonic-ep/
12778,lamb's anger,mr. oizo,2.9,electronic,2009,http://pitchfork.com/reviews/albums/12778-lambs-anger/
12270,"blood, looms and blooms",leila,8.0,electronic,2008,http://pitchfork.com/reviews/albums/12270-blood-looms-and-blooms/
20782,"fingers, bank pads & shoe prints",rp boo,8.0,electronic,2015,http://pitchfork.com/reviews/albums/20782-rp-boo-fingers-bank-pads-shoe-prints/
19832,hi scores ep,boards of canada,8.7,electronic,2014,http://pitchfork.com/reviews/albums/19832-boards-of-canada-hi-scores-ep/
6336,parts in the post,plaid,8.2,electronic,2003,http://pitchfork.com/reviews/albums/6336-parts-in-the-post/
2963,sunday 8pm,faithless,4.4,electronic,1999,http://pitchfork.com/reviews/albums/2963-sunday-8pm/
1393,know doubt ep,cex,5.9,electronic,2005,http://pitchfork.com/reviews/albums/1393-know-doubt-ep/
18672,l-event ep,autechre,6.4,electronic,2013,http://pitchfork.com/reviews/albums/18672-autechre-l-event-ep/
1405,felt cover,charles atlas,6.4,electronic,2002,http://pitchfork.com/reviews/albums/1405-felt-cover/
10155,blood is clean,valet,7.2,electronic,2007,http://pitchfork.com/reviews/albums/10155-blood-is-clean/
2221,"something borrowed, something blue",deadbeat,7.8,electronic,2004,http://pitchfork.com/reviews/albums/2221-something-borrowed-something-blue/
22019,the mountain will fall,dj shadow,6.6,electronic,2016,http://pitchfork.com/reviews/albums/22019-the-mountain-will-fall/
9629,robot,robert lippok,4.9,electronic,2006,http://pitchfork.com/reviews/albums/9629-robot/
8081,hotel morgen,to rococo rot,6.0,electronic,2004,http://pitchfork.com/reviews/albums/8081-hotel-morgen/
17735,laid out ep,shlohmo,8.0,electronic,2013,http://pitchfork.com/reviews/albums/17735-shlohmo-laid-out-ep/
14965,in the house,tensnake,7.9,electronic,2011,http://pitchfork.com/reviews/albums/14965-in-the-house/
17967,if i tell u,phaseone,6.5,electronic,2013,http://pitchfork.com/reviews/albums/17967-phaseone-if-i-tell-u/
21958,folding time,sepalcure,6.0,electronic,2016,http://pitchfork.com/reviews/albums/21958-folding-time/
355,generation,audio bullys,2.7,electronic,2006,http://pitchfork.com/reviews/albums/355-generation/
20286,culture of volume,east india youth,5.7,electronic,2015,http://pitchfork.com/reviews/albums/20286-culture-of-volume/
16080,daydream repeater,co la,6.2,electronic,2011,http://pitchfork.com/reviews/albums/16080-co-la-weekend-repeater/
19912,let's cry and do pushups at the same time,torn hawk,7.3,electronic,2014,http://pitchfork.com/reviews/albums/19912-luke-wyatt-lets-cry-and-do-pushups-at-the-same-time/
21117,electronica 1: the time machine,jean-michel jarre,4.0,electronic,2015,http://pitchfork.com/reviews/albums/21117-electronica-1-the-time-machine/
10675,happy birthday!,modeselektor,7.4,electronic,2007,http://pitchfork.com/reviews/albums/10675-happy-birthday/
22090,made to measure,darkstar,6.8,electronic,2016,http://pitchfork.com/reviews/albums/22090-made-to-measure/
19905,clark,clark,8.3,electronic,2014,http://pitchfork.com/reviews/albums/19905-clark-clark/
14432,touched ep,blondes,7.2,electronic,2010,http://pitchfork.com/reviews/albums/14432-touched-ep/
21187,rip chrysalis,eartheater,7.7,electronic,2015,http://pitchfork.com/reviews/albums/21187-rip-chrysalis/
15890,lose today,stare case,7.4,electronic,2011,http://pitchfork.com/reviews/albums/15890-lose-today/
20630,square ep,kosmo kat,7.1,electronic,2015,http://pitchfork.com/reviews/albums/20630-square-ep/
4409,the action packed mentallist brings you the fucking jams,kid606,7.0,electronic,2002,http://pitchfork.com/reviews/albums/4409-the-action-packed-mentallist-brings-you-the-fucking-jams/
14637,pop negro,el guincho,6.1,electronic,2010,http://pitchfork.com/reviews/albums/14637-pop-negro/
16154,shadows ep,floating points,7.2,electronic,2012,http://pitchfork.com/reviews/albums/16154-shadows/
11362,last night,moby,5.2,electronic,2008,http://pitchfork.com/reviews/albums/11362-last-night/
11582,nah und fern,gas,9.2,electronic,2008,http://pitchfork.com/reviews/albums/11582-nah-und-fern/
363,ep7,autechre,5.7,electronic,1999,http://pitchfork.com/reviews/albums/363-ep7/
16127,fabriclive 61,pinch,7.5,electronic,2012,http://pitchfork.com/reviews/albums/16127-fabriclive61/
21327,technoself,deantoni parks,7.2,electronic,2015,http://pitchfork.com/reviews/albums/21327-technoself/
20242,kailash,"popol vuh, florian fricke",7.3,electronic,2015,http://pitchfork.com/reviews/albums/20242-kailash/
17019,will happiness find me?,maria minerva,6.9,electronic,2012,http://pitchfork.com/reviews/albums/17019-will-happiness-find-me/
6913,ratatat,ratatat,8.4,electronic,2004,http://pitchfork.com/reviews/albums/6913-ratatat/
18450,zukunft ohne menschen,wolfgang voigt,4.4,electronic,2013,http://pitchfork.com/reviews/albums/18450-wolfgang-voigt-zukunft-ohne-menschen/
19983,vapor city archives,machinedrum,5.8,electronic,2014,http://pitchfork.com/reviews/albums/19983-machine-drum-vapor-city-archives/
16119,tragedy & geometry,steve hauschildt,7.4,electronic,2012,http://pitchfork.com/reviews/albums/16119-tragedy-geometry/
354,ego war,audio bullys,7.4,electronic,2003,http://pitchfork.com/reviews/albums/354-ego-war/
14090,skulltaste,mux mool,7.5,electronic,2010,http://pitchfork.com/reviews/albums/14090-skulltaste/
9678,latenighttales,air,7.8,electronic,2006,http://pitchfork.com/reviews/albums/9678-latenighttales/
3249,additional productions,funkstrung,6.8,electronic,1999,http://pitchfork.com/reviews/albums/3249-additional-productions/
15415,women's studies,chrissy murderbot,7.0,electronic,2011,http://pitchfork.com/reviews/albums/15415-womens-studies/
13231,black meteoric star,black meteoric star,6.8,electronic,2009,http://pitchfork.com/reviews/albums/13231-black-meteoric-star/
20674,sounding lines,moritz von oswald trio,6.3,electronic,2015,http://pitchfork.com/reviews/albums/20674-sounding-lines/
15525,i gotta rokk ep,dj shadow,7.0,electronic,2011,http://pitchfork.com/reviews/albums/15525-i-gotta-rokk-ep/
9559,it's a feedelity affair,lindstrm,8.4,electronic,2006,http://pitchfork.com/reviews/albums/9559-its-a-feedelity-affair/
9542,lucky boy,dj mehdi,6.9,electronic,2006,http://pitchfork.com/reviews/albums/9542-lucky-boy/
22411,outer,dusky,5.7,electronic,2016,http://pitchfork.com/reviews/albums/22411-outer/
12459,drippers ep,black moth super rainbow,5.2,electronic,2008,http://pitchfork.com/reviews/albums/12459-drippers-ep/
8445,rossz csillag alatt szletett,venetian snares,7.5,electronic,2005,http://pitchfork.com/reviews/albums/8445-rossz-csillag-alatt-szuletett/
6090,"ancient & modern: cassette memories, vol. 1",aki onda,7.9,electronic,2003,http://pitchfork.com/reviews/albums/6090-ancient-modern-cassette-memories-vol-1/
11508,live at the royal albert hall,the cinematic orchestra,5.6,electronic,2008,http://pitchfork.com/reviews/albums/11508-live-at-the-royal-albert-hall/
15464,super mom,the very best,6.7,electronic,2011,http://pitchfork.com/reviews/albums/15464-super-mom/
13334,see mystery lights,yacht,8.5,electronic,2009,http://pitchfork.com/reviews/albums/13334-see-mystery-lights/
20183,rapture,tropics,6.7,electronic,2015,http://pitchfork.com/reviews/albums/20183-rapture/
21050,i need new eyes,larry gus,6.4,electronic,2015,http://pitchfork.com/reviews/albums/21050-i-need-new-eyes/
14131,"contact, love, want, have",ikonika,7.0,electronic,2010,http://pitchfork.com/reviews/albums/14131-contact-love-want-have/
20044,florida,diplo,6.0,electronic,2014,http://pitchfork.com/reviews/albums/20044-diplo-florida/
21085,sore,dilly dally,8.0,electronic,2015,http://pitchfork.com/reviews/albums/21085-sore/
21348,why pay more?,the soft pink truth,7.0,electronic,2016,http://pitchfork.com/reviews/albums/21348-why-pay-more/
16548,mohn,mohn,7.0,electronic,2012,http://pitchfork.com/reviews/albums/16548-mohn/
13251,drift,nosaj thing,7.9,electronic,2009,http://pitchfork.com/reviews/albums/13251-drift/
22534,shadow boat ep,porter ricks,8.0,electronic,2016,http://pitchfork.com/reviews/albums/22534-shadow-boat-ep/
20385,what for?,toro y moi,6.6,electronic,2015,http://pitchfork.com/reviews/albums/20385-what-for/
22383,furfour,grumbling fur,7.6,electronic,2016,http://pitchfork.com/reviews/albums/22383-furfour/
9111,actual fucking,cex,7.4,electronic,2006,http://pitchfork.com/reviews/albums/9111-actual-fucking/
21559,outdoor museum of fractals / 555hz,"james holden, luke abbott",7.9,electronic,2016,http://pitchfork.com/reviews/albums/21559-outdoor-museum-of-fractals-555hz/
11345,music for lamping,strategy,7.5,electronic,2008,http://pitchfork.com/reviews/albums/11345-music-for-lamping/
11781,touch,michael mayer,7.4,electronic,2005,http://pitchfork.com/reviews/albums/11781-touch-speicher-2/
12950,yes,pet shop boys,4.9,electronic,2009,http://pitchfork.com/reviews/albums/12950-yes/
20478,trickfinger,trickfinger,5.9,electronic,2015,http://pitchfork.com/reviews/albums/20478-trickfinger/
7917,water's suite,nobukazu takemura,6.4,electronic,2002,http://pitchfork.com/reviews/albums/7917-waters-suite/
6393,surfing on sine waves,polygon window,8.1,electronic,2002,http://pitchfork.com/reviews/albums/6393-surfing-on-sine-waves/
18221,the visitor,matias aguayo,5.9,electronic,2013,http://pitchfork.com/reviews/albums/18221-matias-aguayo-the-visitor/
21553,ritual spirit ep,massive attack,7.0,electronic,2016,http://pitchfork.com/reviews/albums/21553-ritual-spirit-ep/
19456,the air between words,martyn,6.6,electronic,2014,http://pitchfork.com/reviews/albums/19456-martyn-the-air-between-words/
13188,listening tree,tim exile,5.7,electronic,2009,http://pitchfork.com/reviews/albums/13188-listening-tree/
14207,latin,holy fuck,7.8,electronic,2010,http://pitchfork.com/reviews/albums/14207-latin/
15932,tragedy,julia holter,8.0,electronic,2011,http://pitchfork.com/reviews/albums/15932-julia-holter/
9120,one river,scott solter,7.1,electronic,2006,http://pitchfork.com/reviews/albums/9120-one-river/
22190,d.t.s.n.t. ,stwo,6.3,electronic,2016,http://pitchfork.com/reviews/albums/22190-dtsnt/
416,don't forget to boogie,tetuzi akiyama,7.8,electronic,2003,http://pitchfork.com/reviews/albums/416-dont-forget-to-boogie/
11853,marquee moon,television,10.0,electronic,2003,http://pitchfork.com/reviews/albums/11853-marquee-moon-adventure/
6331,trainer,plaid,8.5,electronic,2000,http://pitchfork.com/reviews/albums/6331-trainer/
21299,gode,andr bratten,7.4,electronic,2015,http://pitchfork.com/reviews/albums/21299-gode/
7950,the needle was travelling,tarwater,4.0,electronic,2005,http://pitchfork.com/reviews/albums/7950-the-needle-was-travelling/
5002,tacoma mockingbird,eliot lipp,7.8,electronic,2006,http://pitchfork.com/reviews/albums/5002-tacoma-mockingbird/
1412,surrender,the chemical brothers,9.0,electronic,1999,http://pitchfork.com/reviews/albums/1412-surrender/
3992,in the alleyway,hercules,8.2,electronic,2004,http://pitchfork.com/reviews/albums/3992-in-the-alleyway/
13861,there is love in you,four tet,8.6,electronic,2010,http://pitchfork.com/reviews/albums/13861-there-is-love-in-you/
14868,da trak genious,dj nate,7.2,electronic,2010,http://pitchfork.com/reviews/albums/14868-da-trak-genious-the-crack-capone/
6905,sound murderer,remarc,8.8,electronic,2004,http://pitchfork.com/reviews/albums/6905-sound-murderer/
15992,far side virtual,james ferraro,7.6,electronic,2011,http://pitchfork.com/reviews/albums/15992-james-ferraro-far-side-virtual/
11505,ringer,four tet,7.4,electronic,2008,http://pitchfork.com/reviews/albums/11505-ringer/
14416,privilege,glitterbug,6.7,electronic,2010,http://pitchfork.com/reviews/albums/14416-privilege/
10077,why bother?,adult.,6.9,electronic,2007,http://pitchfork.com/reviews/albums/10077-why-bother/
17964,moody coup,co la,7.5,electronic,2013,http://pitchfork.com/reviews/albums/17964-co-la-moody-coup/
15122,space is only noise,nicolas jaar,8.4,electronic,2011,http://pitchfork.com/reviews/albums/15122-space-is-only-noise/
22091,nite-funk,nite-funk,7.8,electronic,2016,http://pitchfork.com/reviews/albums/22091-nite-funk/
17645,anxiety,autre ne veut,8.5,electronic,2013,http://pitchfork.com/reviews/albums/17645-autre-ne-veut-anxiety/
15790,looping state of mind,the field,8.5,electronic,2011,http://pitchfork.com/reviews/albums/15790-looping-state-of-mind/
4410,"shotgun wedding vol. 3: oh, so now you fuckers wanna dance?","cex, kid606",7.2,electronic,2004,http://pitchfork.com/reviews/albums/4410-shotgun-wedding-vol-3-oh-so-now-you-fuckers-wanna-dance-with-cex/
17277,smalhans,lindstrm,7.6,electronic,2012,http://pitchfork.com/reviews/albums/17277-smalhans/
15672,ritual union,little dragon,6.7,electronic,2011,http://pitchfork.com/reviews/albums/15672-ritual-union/
